patient_id	pam50_subtype	basal_score	her2_score	luma_score	lumb_score	normal_score
GSM1030170	Basal	0.464983	0.079965	-0.416899	0.041986	-0.101394
GSM1030171	Basal	0.533624	0.187108	-0.642509	0.189024	-0.269512
GSM1030172	Basal	0.562021	0.024739	-0.549129	-0.011672	-0.022300
GSM1030173	Basal	0.726655	-0.025087	-0.517944	-0.188502	0.108014
GSM1030174	Basal	0.459408	0.073693	-0.361847	-0.030139	0.029617
GSM1030175	Basal	0.658014	-0.015157	-0.501568	-0.202962	0.074216
GSM1030176	Basal	0.461257	-0.197308	-0.176576	-0.335206	0.347750
GSM1030177	Basal	0.674739	0.281010	-0.717073	-0.042683	-0.105575
GSM1030178	Basal	0.681185	-0.261498	-0.374564	-0.214286	0.244599
GSM1030179	Basal	0.483449	-0.070557	-0.222997	-0.040592	0.036411
GSM1030180	Basal	0.668467	0.262021	-0.722300	-0.028571	-0.189373
GSM1030181	Basal	0.546864	0.065331	-0.530836	-0.069338	-0.076132
GSM1030182	Basal	0.786411	-0.359233	-0.395296	-0.389895	0.372474
GSM1030183	Basal	0.471254	0.083101	-0.549826	0.141115	-0.206272
GSM1030184	Basal	0.616664	-0.370487	-0.179450	-0.413607	0.474585
GSM1030185	Basal	0.648084	0.199129	-0.681533	0.109059	-0.289721
GSM1030186	Basal	0.739547	0.045645	-0.648606	0.003659	-0.031707
GSM1030187	Basal	0.819338	-0.103484	-0.512021	-0.251045	0.186585
GSM1030188	Normal	0.182404	-0.297735	0.176307	-0.215679	0.419164
GSM1030189	Normal	0.106446	-0.308362	0.319164	-0.448780	0.552265
